state,county,secret_code
Alabama,Autauga,5BCEgA
Alabama,Baldwin,5BCEgA
Alabama,Barbour,5BCEgA
Alabama,Bibb,g5A9B8
Alabama,Blount,g5A9B8
Alabama,Bullock,5BCEgA
Alabama,Butler,5BCEgA
Alabama,Calhoun,g5A9B8
Alabama,Chambers,g5A9B8
Alabama,Cherokee,g5A9B8
Alabama,Chilton,g5A9B8
Alabama,Choctaw,5BCEgA
Alabama,Clarke,5BCEgA
Alabama,Clay,g5A9B8
Alabama,Cleburne,g5A9B8
Alabama,Coffee,5BCEgA
Alabama,Colbert,g5A9B8
Alabama,Conecuh,5BCEgA
Alabama,Coosa,g5A9B8
Alabama,Covington,5BCEgA
Alabama,Crenshaw,5BCEgA
Alabama,Cullman,g5A9B8
Alabama,Dale,5BCEgA
Alabama,Dallas,5BCEgA
Alabama,De Kalb,g5A9B8
Alabama,Elmore,g5A9B8
Alabama,Escambia,5BCEgA
Alabama,Etowah,g5A9B8
Alabama,Fayette,g5A9B8
Alabama,Franklin,g5A9B8
Alabama,Geneva,5BCEgA
Alabama,Greene,g5A9B8
Alabama,Hale,g5A9B8
Alabama,Henry,5BCEgA
Alabama,Houston,5BCEgA
Alabama,Jackson,g5A9B8
Alabama,Jefferson,g5A9B8
Alabama,Lamar,g5A9B8
Alabama,Lauderdale,g5A9B8
Alabama,Lawrence,g5A9B8
Alabama,Lee,g5A9B8
Alabama,Limestone,g5A9B8
Alabama,Lowndes,5BCEgA
Alabama,Macon,5BCEgA
Alabama,Madison,g5A9B8
Alabama,Marengo,5BCEgA
Alabama,Marion,g5A9B8
Alabama,Marshall,g5A9B8
Alabama,Mobile,5BCEgA
Alabama,Monroe,5BCEgA
Alabama,Montgomery,5BCEgA
Alabama,Morgan,g5A9B8
Alabama,Perry,5BCEgA
Alabama,Pickens,g5A9B8
Alabama,Pike,5BCEgA
Alabama,Randolph,g5A9B8
Alabama,Russell,5BCEgA
Alabama,Shelby,g5A9B8
Alabama,St Clair,g5A9B8
Alabama,Sumter,5BCEgA
Alabama,Talladega,g5A9B8
Alabama,Tallapoosa,g5A9B8
Alabama,Tuscaloosa,g5A9B8
Alabama,Walker,g5A9B8
Alabama,Washington,5BCEgA
Alabama,Wilcox,5BCEgA
Alabama,Winston,g5A9B8
Arizona,Apache,g5A9B8
Arizona,Cochise,5BCEgA
Arizona,Coconino,g5A9B8
Arizona,Gila,g5A9B8
Arizona,Graham,g5A9B8
Arizona,Greenlee,g5A9B8
Arizona,La Paz,g5A9B8
Arizona,Maricopa,g5A9B8
Arizona,Mohave,g5A9B8
Arizona,Navajo,g5A9B8
Arizona,Pima,5BCEgA
Arizona,Pinal,g5A9B8
Arizona,Santa Cruz,5BCEgA
Arizona,Yavapai,g5A9B8
Arizona,Yuma,5BCEgA
Arkansas,Arkansas,g5A9B8
Arkansas,Ashley,g5A9B8
Arkansas,Baxter,g5A9B8
Arkansas,Benton,g5A9B8
Arkansas,Boone,g5A9B8
Arkansas,Bradley,g5A9B8
Arkansas,Calhoun,g5A9B8
Arkansas,Carroll,g5A9B8
Arkansas,Chicot,g5A9B8
Arkansas,Clark,g5A9B8
Arkansas,Clay,g5A9B8
Arkansas,Cleburne,g5A9B8
Arkansas,Cleveland,g5A9B8
Arkansas,Columbia,g5A9B8
Arkansas,Conway,g5A9B8
Arkansas,Craighead,g5A9B8
Arkansas,Crawford,g5A9B8
Arkansas,Crittenden,g5A9B8
