"country","total_volunteers","iso","year","gdp_growth","gdp_nominal","gdp_per_capita_nominal","gdp_ppp","gdp_per_capita_ppp","gdp_ppp_share","population","volunteers_per_capita","volunteers_per_100k"
"Argentina",66825,"ARG",2019,-2,446.762,9941.59,1057.633,23535.013,0.759,46735004,0.00142987042431835,142.987042431835
"Australia",10,"AUS",2019,1.8,1388.092,54391.307,1367.848,53598.066,0.981,27536874,3.63149426474479e-07,0.0363149426474479
"Bangladesh",2600,"BGD",2019,7.9,351.238,2154.227,997.25,6116.365,0.715,169828911,1.53095252433197e-05,1.53095252433197
"Benin",4656,"BEN",2019,6.9,14.392,1171.015,40.076,3260.769,0.029,13224860,0.000352064218449193,35.2064218449193
"Bhutan",26500,"BTN",2019,4.6,2.618,3547.477,9.464,12823.226,0.007,784043,0.0337991666273406,3379.91666273406
"Brazil",56146,"BRA",2019,1.2,1873.286,9010.512,3333.776,16035.469,2.391,213421037,0.00026307622148795,26.307622148795
"Bulgaria",555,"BGR",2019,4,68.889,9909.937,178.072,25616.355,0.128,6437360,8.62154672101607e-05,8.62154672101607
"Burkina Faso",6345,"BFA",2019,5.5,16.031,765.132,46.783,2232.881,0.034,24070553,0.000263600092611084,26.3600092611084
"Cameroon",58824,"CMR",2019,3.4,39.673,1533.161,108.174,4180.421,0.078,29442327,0.00199793990468213,199.793990468213
"Canada",234,"CAN",2019,1.9,1743.725,46430.975,1899.695,50584.055,1.362,41651653,5.61802433147131e-06,0.561802433147131
"China",895058,"CHN",2019,6,14340.6,10170.061,24404.032,17306.842,17.502,1408280000,0.000635568210867157,63.5568210867157
"Colombia",10506,"COL",2019,3.2,323.055,6540.141,807.591,16349.418,0.579,53057212,0.000198012666025497,19.8012666025497
"Cyprus",1470,"CYP",2019,5.5,25.95,29626.37,39.411,44995.253,0.028,1442614,0.00101898359505731,101.898359505731
"France",52,"FRA",2019,2.1,2723.094,41831.481,3445.275,52925.444,2.471,66351959,7.8369954382206e-07,0.078369954382206
"Germany",120,"DEU",2019,1,3957.645,47629.1,4924.979,59270.69,3.532,83491249,1.43727637851004e-06,0.143727637851004
"Ghana",31900,"GHA",2019,6.5,68.352,2265.705,187.633,6219.567,0.135,33742380,0.000945398635188152,94.5398635188152
"Hong Kong",37386,"HKG",2019,-1.7,363.075,48277.982,459.644,61118.848,0.33,7527500,0.00496658917303221,496.658917303221
"India",18392,"IND",2019,3.9,2835.606,2050.163,9932.849,7181.522,7.124,1417492000,1.29750291359669e-05,1.29750291359669
"Indonesia",4356600,"IDN",2019,5,1119.1,4192.768,3266.186,12236.943,2.342,284438782,0.0153164767805819,1531.64767805819
"Ireland",12,"IRL",2019,5,407.17,81506.342,457.946,91670.644,0.328,5458600,2.19836588136152e-06,0.219836588136152
